name,salary_from,salary_to,salary_currency,area_name,published_at
"Senior Software Engineer Python, C++, .NET- Epesoft (to Montenegro)",,,,Москва,2022-12-19T05:12:32+0300
Продакт-менеджер,120000,200000,RUR,Хабаровск,2022-12-19T04:45:01+0300
Инженер по тестированию техники,60000,70000,RUR,Вольно-Надеждинское,2022-12-19T02:09:41+0300
Механик,,36000,RUR,Кемерово,2022-12-19T05:35:10+0300
Бизнес-аналитик,45000,80000,RUR,Владивосток,2022-12-19T03:25:23+0300
Менеджер процессов,70000,90000,RUR,Владивосток,2022-12-19T02:28:55+0300
Главный редактор в СМИ (Владивосток),80000,120000,RUR,Владивосток,2022-12-19T04:21:07+0300
Токарь-карусельщик,45000,,RUR,Омск,2022-12-19T04:49:33+0300
Механик-наладчик,70000,70000,RUR,Санкт-Петербург,2022-12-19T00:46:25+0300
Ведущий эксперт (сопровождение систем SOC),120000,,RUR,Новосибирск,2022-12-19T05:12:10+0300
Менеджер проектов в сфере IT,75000,,RUR,Москва,2022-12-19T02:04:28+0300
Старший системный администратор,,,,Владивосток,2022-12-19T03:25:23+0300
Программист С#,,,,Иркутск,2022-12-19T04:20:36+0300
Сервисный инженер,60000,,RUR,Троицкое (Сахалинская область),2022-12-19T03:40:02+0300
Руководитель отдела IT,,,,Новосибирск,2022-12-19T05:50:21+0300
Senior Backend Developer (Go) (remote),380000,,RUR,Москва,2022-12-19T00:23:27+0300
Консультант 1С,30000,40000,RUR,Иркутск,2022-12-19T05:09:50+0300
Главный программист,60000,,RUR,Новосибирск,2022-12-19T04:32:53+0300
Помощник системного администратора,,,,Владивосток,2022-12-19T02:48:25+0300
Наладчик токарных станков с числовым программным управлением,40000,,RUR,Барнаул,2022-12-19T04:29:02+0300
Бизнес-аналитик 1С ЭДО (Удаленно),,,,Москва,2022-12-19T05:42:27+0300
Программист 1С (офис/удаленка),180000,,RUR,Москва,2022-12-19T02:56:05+0300
Системный аналитик,100000,150000,RUR,Владивосток,2022-12-19T03:25:23+0300
"Мастер сервисного центра (сборка, ремонт спортинвентаря) Ким ю Чена 44ж",41000,,RUR,Хабаровск,2022-12-19T03:54:41+0300
Оператор станков с ЧПУ 4 разряда,63000,,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Механик / Автослесарь по ремонту техники,35000,50000,RUR,Екатеринбург,2022-12-19T04:18:59+0300
Специалист 1С / Архитектор 1С (Администратор 1С),,,,Новокузнецк,2022-12-19T05:15:27+0300
Системный аналитик Diasoft,,,,Москва,2022-12-19T02:53:32+0300
Начальник отдела маркетинга и рекламы,,,,Хабаровск,2022-12-19T04:12:33+0300
"Программист 1С в сеть магазинов ""КУЗЯ""",70000,,RUR,Омск,2022-12-19T04:09:39+0300
QA-инженер (middle/senior),,,,Бишкек,2022-12-19T05:40:56+0300
Бизнес-аналитик,,,,Новосибирск,2022-12-19T05:28:04+0300
Ведущий программист 1с (дистанционно),,,,Владивосток,2022-12-19T02:23:16+0300
Токарь,35000,90000,RUR,Каменск-Уральский,2022-12-19T04:43:01+0300
Слесарь-ремонтник,50000,55000,RUR,Южно-Сахалинск,2022-12-19T03:51:48+0300
Продавец-консультант (ТЦ 69 Параллель),50000,,RUR,Норильск,2022-12-19T05:23:07+0300
Сервисный инженер,53000,,RUR,Новокузнецк,2022-12-19T05:34:09+0300
Технический директор,60000,,RUR,Новокузнецк,2022-12-19T05:26:27+0300
Сервисный инженер,,,,Красноярск,2022-12-19T01:03:24+0300
Токарь 1К62,50000,60000,RUR,Барнаул,2022-12-19T03:33:57+0300
Токарь,40000,,RUR,Барнаул,2022-12-19T04:08:57+0300
Токарь 3-4 разряд,40000,,RUR,Новокузнецк,2022-12-19T05:34:08+0300
Начальник службы информационных технологий,63000,63000,RUR,Новосибирск,2022-12-19T04:16:03+0300
Фрезеровщик ЧПУ,60000,60000,RUR,Красноярск,2022-12-19T05:15:12+0300
Механик участка по ремонту оборудования,50000,,RUR,Искитим,2022-12-19T05:02:40+0300
Ведущий Системный администратор,,,,Владивосток,2022-12-19T04:23:44+0300
Бизнес-аналитик,70000,,RUR,Владивосток,2022-12-19T05:20:27+0300
Data Engineer,100000,120000,RUR,Москва,2022-12-19T02:56:39+0300
Java программист / Java developer,,,,Новосибирск,2022-12-19T05:28:03+0300
Специалист розничных процессов,70000,100000,RUR,Владивосток,2022-12-19T02:28:58+0300
Программист 1С,,,,Новосибирск,2022-12-19T05:06:28+0300
Оператор / наладчик токарных станков с ЧПУ (16М30Ф3; Ф3; CKE6180Z; Haas ST-30; Haas ST-20.0),50000,,RUR,Томск,2022-12-19T05:56:47+0300
Руководитель центра мониторинга и реагирования на инциденты Security Operation Center (SOC),,,,Новосибирск,2022-12-19T05:12:38+0300
Оператор call-центра удаленная работа,40000,80000,RUR,Челябинск,2022-12-19T05:11:10+0300
Ведущий программист 1с (дистанционно),,,,Комсомольск-на-Амуре,2022-12-19T02:23:16+0300
Сервисный инженер,80000,,RUR,Владивосток,2022-12-19T04:18:58+0300
Монтажник РЭА и приборов,40000,60000,RUR,Санкт-Петербург,2022-12-19T01:03:20+0300
Руководитель направления бизнес-архитектуры,,,,Санкт-Петербург,2022-12-19T01:39:17+0300
Ведущий сервисный инженер по ремонту производственного оборудования,,50000,RUR,Новосибирск,2022-12-19T05:59:27+0300
Главный аналитик отдела взыскания задолженности,,,,Алматы,2022-12-19T05:53:19+0300
Сервисный инженер,60000,,RUR,Южно-Сахалинск,2022-12-19T03:40:02+0300
Ведущий специалист технической поддержки,,55000,RUR,Хабаровск,2022-12-19T04:58:53+0300
Middle/Senior PHP developer (backend),120000,,RUR,Новосибирск,2022-12-19T03:37:35+0300
Специалист по информационной безопасности,45000,70000,RUR,Красноярск,2022-12-19T05:30:50+0300
Администратор системы дистанционного обучения (iSpring),40000,45000,RUR,Владивосток,2022-12-19T04:15:00+0300
Специалист кассовых систем,65000,70000,RUR,Владивосток,2022-12-19T04:15:00+0300
Аналитик по категории А и ВС,,,,Алматы,2022-12-19T04:50:11+0300
Аналитик 1С:ДО,150000,180000,RUR,Москва,2022-12-19T00:15:14+0300
Механик по обслуживанию пищевого оборудования,50000,65000,RUR,Владивосток,2022-12-19T02:34:24+0300
Главный механик (Дизельные электростанции),50000,,RUR,Красноярск,2022-12-19T05:07:51+0300
Плавильщик металла и сплавов,41500,,RUR,Новоалтайск,2022-12-19T05:01:36+0300
Специалист по нормированию труда,,,,Новосибирск,2022-12-19T05:59:58+0300
Инженер по эксплуатации базовых станций и транспортной сети,,,,Красноярск,2022-12-19T05:53:14+0300
Оператор станков с ПУ (гибка),51000,51000,RUR,Брянск,2022-12-19T03:40:21+0300
Специалист сервисного центра,25000,40000,RUR,Владикавказ,2022-12-19T02:32:28+0300
